ID,Sex,Condition,Movie,Tweety,RolePlay,Map1,Map2
1,F,friend,0,1,0,0,0
2,M,friend,1,0,4,2,1
3,F,friend,0,0,1,0,0
4,F,friend,0,1,0,0,0
5,M,friend,2,0,0,0,0
6,F,friend,0,0,0,0,0
7,F,friend,1,0,1,0,0
8,M,friend,1,0,4,0,0
9,M,friend,5,0,12,0,0
10,M,friend,1,0,0,0,0
11,M,friend,0,0,0,0,0
12,F,friend,3,1,2,0,0
13,F,friend,0,0,0,0,0
14,M,friend,5,1,10,0,1
1,F,professor,1,0,0,0,0
2,M,professor,2,2,2,0,0
3,F,professor,2,2,11,0,0
4,F,professor,0,0,0,0,0
5,M,professor,1,1,0,1,0
6,F,professor,0,0,0,0,0
7,F,professor,1,0,1,0,0
8,M,professor,7,0,6,1,1
9,M,professor,8,3,7,4,1
10,M,professor,0,0,1,2,0
11,M,professor,0,0,0,0,0
12,F,professor,2,0,2,0,1
13,F,professor,0,0,0,2,0
14,M,professor,5,0,5,3,1
